ANO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACION DANE,No. INSTITUCIONES
2020,1,BOLIVAR,CANTAGALLO,30,8696,9
2019,2,BOLIVAR,BARRANCO DE LOBA,222,14996,15
2019,4,NARI�O,LINARES,19,10098,10
2019,1,NARI�O,SAN LORENZO,81,18435,19
2019,1,NORTE DE SANTANDER,DURANIA,90,4693,6
2018,4,TOLIMA,VILLAHERMOSA,202,9283,10
2019,1,LA GUAJIRA,ALBANIA,1109,30848,31
2019,3,HUILA,TESALIA,658,10815,11
2018,3,CORDOBA,CIENAGA DE ORO,1875,59086,60
2019,1,CHOCO,ACANDI,585,14085,14
2018,3,ANTIOQUIA,URAMITA,229,6888,7
2020,1,SUCRE,GALERAS,14,23238,24
2019,2,CASANARE,MONTERREY,855,17797,18
2019,3,TOLIMA,FLANDES,3321,28510,29
2020,1,CESAR,CHIRIGUANA,532,29632,30
2018,3,HUILA,IQUIRA,170,9248,10
2018,3,CALDAS,MARULANDA,97,2607,3
2019,1,ANTIOQUIA,RIONEGRO,32430,139553,140
2018,4,VALLE DEL CAUCA,GUADALAJARA DE BUGA,21702,127545,128
2020,1,NARI�O,LA UNION,304,31751,32
2019,3,BOYACA,MONGUA,90,4620,5
2018,3,BOLIVAR,MORALES,239,22259,23
2020,1,CUNDINAMARCA,SUPATA,181,5543,6
2018,4,BOYACA,RAQUIRA,119,7877,8
2020,1,BOYACA,RONDON,27,2373,3
2018,4,RISARALDA,BALBOA,101,6423,7
2019,4,CESAR,CHIRIGUANA,444,28743,30
2019,3,ANTIOQUIA,ANORI,1084,18737,19
2018,4,ANTIOQUIA,MUTATA,1004,13991,15
2019,4,VAUPES,MITU,70,31302,32
2019,3,SANTANDER,CONFINES,41,3233,4
2019,2,RISARALDA,APIA,185,12276,13
2019,3,TOLIMA,VALLE DE SAN JUAN,138,5353,6
2019,4,BOYACA,CUBARA,24,10563,11
2019,3,CASANARE,SAN LUIS DE PALENQUE,89,8378,9
2019,3,ANTIOQUIA,VENECIA,1427,11636,12
2018,4,NORTE DE SANTANDER,LOURDES,97,3954,4
2019,4,BOYACA,EL COCUY,36,4150,5
2018,3,VALLE DEL CAUCA,ANDALUCIA,1993,22436,23
2019,3,ANTIOQUIA,CALDAS,17950,81658,82
2019,4,CUNDINAMARCA,ARBELAEZ,480,10825,12
2019,2,BOYACA,SANTA SOFIA,66,3195,3
2019,4,CAUCA,PIAMONTE,28,9004,9
2019,3,META,PUERTO RICO,305,12918,13
2019,2,QUINDIO,ARMENIA,74613,300194,300
2019,2,HUILA,AIPE,239,16361,17
2020,1,CASANARE,PAZ DE ARIPORO,1602,37347,38
2019,4,BOYACA,CORRALES,103,2523,3
2018,4,BOYACA,BETEITIVA,21,1963,2
2019,3,CESAR,BOSCONIA,3083,41825,42
2019,3,CASANARE,SACAMA,67,2073,3
2019,3,ANTIOQUIA,CA�ASGORDAS,836,15490,16
2019,1,ANTIOQUIA,SOPETRAN,1321,15293,16
2019,1,META,BARRANCA DE UPIA,897,6513,7
2019,2,ANTIOQUIA,NARI�O,311,9997,11
2018,3,BOYACA,RAMIRIQUI,481,9887,11
2019,3,ANTIOQUIA,HELICONIA,229,5400,5
2020,1,BOYACA,LA VICTORIA,10,1117,2
2019,3,ATLANTICO,SANTA LUCIA,1,16624,18
2020,1,BOYACA,SAN LUIS DE GACENO,31,5473,6
2019,3,ANTIOQUIA,OLAYA,179,3150,3
2020,1,PUTUMAYO,PUERTO GUZMAN,88,36665,37
2018,4,QUINDIO,PIJAO,153,5219,6
2019,4,VALLE DEL CAUCA,EL AGUILA,78,8696,9
2019,3,NARI�O,POLICARPA,20,9827,10
2019,3,ANTIOQUIA,TARSO,463,6194,6
2019,1,BOYACA,BETEITIVA,21,1943,2
2019,1,META,LEJANIAS,187,11256,11
2019,4,CAUCA,POPAYAN,57854,321991,323
2018,4,NARI�O,RICAURTE,141,19631,20
2019,4,TOLIMA,LERIDA,598,18598,20
2018,4,BOLIVAR,SAN CRISTOBAL,50,8054,9
2020,1,BOYACA,TIPACOQUE,15,3290,4
2019,4,ANTIOQUIA,JARDIN,1235,14662,15
2020,1,ANTIOQUIA,SAN CARLOS,1483,15811,16
2019,4,ANTIOQUIA,VALPARAISO,457,6462,7
2019,2,SANTANDER,SAN ANDRES,170,8613,9
2019,2,NORTE DE SANTANDER,BOCHALEMA,30,8529,9
2020,1,ANTIOQUIA,JERICO,1660,13706,14
2019,4,CUNDINAMARCA,PAIME,26,4206,5
2018,4,CUNDINAMARCA,YACOPI,198,12322,12
2018,3,CUNDINAMARCA,TENJO,1690,21935,22
2020,1,ANTIOQUIA,BETULIA,846,15896,17
